,word,sentence,last_practice,practiced_time,is_selected,weight
0,aujourd'hui,Aujourd'hui nous sommes lundi.,Last answered: 3 minutes ago,Practiced: 4 times,True,1
1,simple,C'est une question très simple.,Last answered: 3 minutes ago,Practiced: 3 times,True,1
2,vue,J'ai une bonne vue.,Last answered: 3 minutes ago,Practiced: 5 times,True,1
3,pays,C'est un beau pays.,Last answered: 3 minutes ago,Practiced: 4 times,True,1
4,chaque,Chaque chose en son temps.,Last answered: 4 minutes ago,Practiced: 15 times,True,1
5,ensemble,Nous sommes ensemble.,Last answered: 4 minutes ago,Practiced: 8 times,True,1
6,ta,Ta sœur est grande.,Last answered: 4 minutes ago,Practiced: 5 times,True,1
7,ma,Ma mère est petite.,Last answered: 4 minutes ago,Practiced: 3 times,True,1
8,temps,Le temps c'est de l'argent.,Last answered: 5 minutes ago,Practiced: 8 times,True,1
9,matin,Il est trois heures du matin.,Last answered: 5 minutes ago,Practiced: 11 times,True,1
10,commentaire,J'ai un commentaire à faire.,Last answered: 7 minutes ago,Practiced: 3 times,True,1
11,beau,Il est beau ton sac. – Merci !,Last answered: 7 minutes ago,Practiced: 4 times,True,1
12,le besoin,J'ai besoin de toi.,Last answered: 7 minutes ago,Practiced: 7 times,True,1
13,point,C'est une question de point de vue.,Last answered: 7 minutes ago,Practiced: 4 times,True,1
14,il continue,Il continue son travail.,Last answered: 8 minutes ago,Practiced: 4 times,True,1
15,ton,Ton frère est petit.,Last answered: 8 minutes ago,Practiced: 19 times,True,1
16,heureux,Ces enfants sont très heureux.,Last answered: 8 minutes ago,Practiced: 10 times,True,1
17,frère,C'est mon frère.,Last answered: 10 minutes ago,Practiced: 3 times,True,1
18,parents,Mes parents habitent loin.,Last answered: 10 minutes ago,Practiced: 3 times,True,1
19,formation,Sa formation dure trois mois.,Last answered: 10 minutes ago,Practiced: 10 times,True,1
20,jeunes,Mes enfants sont très jeunes.,Last answered: 11 minutes ago,Practiced: 12 times,True,1
21,fils,Son fils est encore petit.,Last answered: 11 minutes ago,Practiced: 8 times,True,1
22,nous avons,Nous avons deux enfants.,Last answered: 11 minutes ago,Practiced: 10 times,True,1
23,sa,Sa femme est heureuse.,Last answered: 11 minutes ago,Practiced: 9 times,True,1
24,équipe,Son équipe est grande.,Last answered: 12 minutes ago,Practiced: 9 times,True,1
25,sous,La clé est sous le tapis.,Last answered: 12 minutes ago,Practiced: 30 times,True,1
26,chambre,Ma chambre est toute petite.,Last answered: 13 minutes ago,Practiced: 7 times,True,1
27,heure,Il est une heure.,Last answered: 13 minutes ago,Practiced: 6 times,True,1
28,j'aide,J'aide mon père à la maison.,Last answered: 14 minutes ago,Practiced: 8 times,True,1
29,corps,Le corps a besoin d'eau.,Last answered: 14 minutes ago,Practiced: 7 times,True,1
30,elle donne,Elle donne des conseils.,Last answered: 15 minutes ago,Practiced: 11 times,True,1
31,choix,C'est votre choix ?,Last answered: 15 minutes ago,Practiced: 4 times,True,1
32,droit,Il étudie le droit.,Last answered: 15 minutes ago,Practiced: 6 times,True,1
33,ordre,C'est un ordre !,Last answered: 16 minutes ago,Practiced: 4 times,True,1
34,ils ont,Ils ont une grande famille.,Last answered: 21 minutes ago,Practiced: 11 times,True,1
35,je demande,Je vous demande pardon ?,Last answered: 22 minutes ago,Practiced: 12 times,True,1
36,mal,J'ai mal à la tête.,Last answered: 22 minutes ago,Practiced: 10 times,True,1
37,mari,Ton mari est ici ?,Last answered: 22 minutes ago,Practiced: 7 times,True,1
38,quelques,J'ai quelques questions.,Last answered: 25 minutes ago,Practiced: 5 times,True,1
39,sœur,Ta sœur va bien ?,Last answered: 25 minutes ago,Practiced: 6 times,True,1
40,tout,Je travaille tout le temps.,Last answered: 26 minutes ago,Practiced: 12 times,True,1
41,avis,"À mon avis, tu as raison.",Last answered: 26 minutes ago,Practiced: 8 times,True,1
42,long,Ce film est très long.,Last answered: 26 minutes ago,Practiced: 6 times,True,1
43,tous,Il travaille tous les jours.,Last answered: 27 minutes ago,Practiced: 14 times,True,1
44,encore,Vous avez encore des questions ?,Last answered: 27 minutes ago,Practiced: 18 times,True,1
45,fort,Cet homme est très fort.,Last answered: 27 minutes ago,Practiced: 7 times,True,1
46,votre,C'est votre voiture ?,Last answered: 28 minutes ago,Practiced: 3 times,True,1
47,il écoute,Il écoute la radio.,Last answered: 28 minutes ago,Practiced: 7 times,True,1
48,journée,C'est une belle journée !,Last answered: 29 minutes ago,Practiced: 8 times,True,1
49,belle,La vie est belle.,Last answered: 29 minutes ago,Practiced: 8 times,True,1
50,premier,C'est son premier enfant.,Last answered: 30 minutes ago,Practiced: 16 times,True,1
51,chef,C'est votre chef d'équipe ?,Last answered: 37 minutes ago,Practiced: 2 times,True,1
52,ses,Ses enfants sont grands.,Last answered: 37 minutes ago,Practiced: 5 times,True,1
53,quelque,J'ai quelque chose pour toi.,Last answered: 38 minutes ago,Practiced: 5 times,True,1
54,notre,Notre chef est en retard.,Last answered: 42 minutes ago,Practiced: 3 times,True,1
55,son,Son mari est français.,Last answered: about an hour ago,Practiced: 6 times,True,1
56,liste,La liste d'attente est longue.,Last answered: 5 days ago,Practiced: 1 time,False,1
57,des,Tu as des enfants ?,Last answered: 5 days ago,Practiced: 6 times,False,1
58,exemple,Je vous donne un exemple.,Last answered: 5 days ago,Practiced: 1 time,False,1
59,offre,Votre offre est intéressante.,Last answered: 5 days ago,Practiced: 1 time,False,1
60,prix,Il compare les prix.,Last answered: 5 days ago,Practiced: 1 time,False,1
61,loi,C'est la loi.,Last answered: 5 days ago,Practiced: 11 times,False,1
62,avec,Elle est avec sa mère.,Last answered: 5 days ago,Practiced: 4 times,False,1
63,forme,Je suis en forme.,Last answered: 5 days ago,Practiced: 7 times,False,1
64,pendant,Qu'est-ce que tu fais pendant les vacances ?,Last answered: 5 days ago,Practiced: 17 times,False,1
65,ils,Ils sont grands.,Last answered: 5 days ago,Practiced: 12 times,False,1
66,tête,Tu as mal à la tête ?,Last answered: 5 days ago,Practiced: 3 times,False,1
67,qualité,Le service de ce restaurant est de bonne qualité.,Last answered: 6 days ago,Practiced: 1 time,False,1
68,action,Tu aimes les films d'action ?,Last answered: 6 days ago,Practiced: 1 time,False,1
69,plan,Quel est votre plan d'action ?,Last answered: 6 days ago,Practiced: 1 time,False,1
70,jeune,Cet enfant est très jeune.,Last answered: 6 days ago,Practiced: 1 time,False,1
71,études,Ses études sont longues.,Last answered: 6 days ago,Practiced: 1 time,False,1
72,titre,Le titre de ce livre est long.,Last answered: 6 days ago,Practiced: 1 time,False,1
73,projets,Ses projets sont intéressants.,Last answered: 6 days ago,Practiced: 1 time,False,1
74,cette,Cette fille est grande.,Last answered: 6 days ago,Practiced: 7 times,False,1
75,désolé,Je suis désolé.,Last answered: 6 days ago,Practiced: 1 time,False,1
76,activité,L'entreprise change d'activité.,Last answered: 6 days ago,Practiced: 1 time,False,1
77,livre,Tu as un nouveau livre ?,Last answered: 6 days ago,Practiced: 7 times,False,1
78,elle reste,Elle reste en France.,Last answered: 6 days ago,Practiced: 11 times,False,1
79,sur,Le pain est sur la table.,Last answered: 6 days ago,Practiced: 11 times,False,1
80,ami,C'est un bon ami.,Last answered: 6 days ago,Practiced: 10 times,False,1
81,voiture,J'adore sa nouvelle voiture.,Last answered: 6 days ago,Practiced: 10 times,False,1
82,fille,C'est une fille.,Last answered: 6 days ago,Practiced: 12 times,False,1
83,groupe,C'est un groupe de trois personnes.,Last answered: 6 days ago,Practiced: 3 times,False,1
84,cours,Vous avez des cours aujourd'hui ?,Last answered: 6 days ago,Practiced: 3 times,False,1
85,petit,Il est petit.,Last answered: 6 days ago,Practiced: 6 times,False,1
86,même,C'est le même sujet.,Last answered: 6 days ago,Practiced: 6 times,False,1
87,dans,Les enfants sont dans le jardin.,Last answered: 6 days ago,Practiced: 15 times,False,1
88,différentes,Elles sont différentes.,Last answered: 6 days ago,Practiced: 6 times,False,1
89,toute,"Aujourd'hui, je travaille toute la journée.",Last answered: 6 days ago,Practiced: 6 times,False,1
90,mission,Elle est en mission.,Last answered: 6 days ago,Practiced: 2 times,False,1
91,rue,Ta rue est calme ?,Last answered: 6 days ago,Practiced: 3 times,False,1
92,dernière,C'est ta dernière chance.,Last answered: 6 days ago,Practiced: 3 times,False,1
93,dernier,Son dernier livre est excellent.,Last answered: 6 days ago,Practiced: 12 times,False,1
94,peu,Nous avons peu de temps.,Last answered: 6 days ago,Practiced: 11 times,False,1
95,mes,Mes parents ont deux enfants.,Last answered: 7 days ago,Practiced: 2 times,False,1
96,toutes,Toutes mes amies sont ici.,Last answered: 7 days ago,Practiced: 1 time,False,1
97,situation,Je suis dans une situation difficile.,Last answered: 7 days ago,Practiced: 1 time,False,1
98,université,Elle va à l'université.,Last answered: 7 days ago,Practiced: 1 time,False,1
99,école,Mes enfants sont à l'école.,Last answered: 7 days ago,Practiced: 1 time,False,1
